experiment	biosample	overall_flag	read_flag	is_perturbation	is_perturbation_treated	is_perturbation_untreated	is_uncapped	flags	total_reads	pl_reads	mn_reads	perturbation_keywords	perturbation_fields	treatment_keywords	treatment_fields	uncapped_fields	reasons
ENCSR023NXW	right common carotid artery plus branches	green	green	false	false	false	false	green	48044116	23962780	24081336		{}		{}	{}	
ENCSR266TET	bronchial lymph node	green	green	false	false	false	false	green	45956195	23050822	22905373		{}		{}	{}	
ENCSR045XAW	urinary bladder	green	green	false	false	false	false	green	26854082	13523667	13330415		{}		{}	{}	
ENCSR934ZMQ	Metastatic Breast Carcinoma in the Ovary	green	green	false	false	false	false	green	27713782	13902789	13810993		{}		{}	{}	
ENCSR118KGX	T-cell	yellow	yellow	false	false	false	false	yellow_low_reads	17249962	8673170	8576792		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 17,249,962 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 17249962}]"
ENCSR296MTV	left common carotid artery plus branches	red	red	false	false	false	false	red_low_reads	7711346	3933309	3778037		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 7,711,346 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 7711346}]"
ENCSR212GWU	breast	yellow	yellow	false	false	false	false	yellow_low_reads	15988746	8005118	7983628		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 15,988,746 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 15988746}]"
ENCSR408RHY	adrenal gland	green	green	false	false	false	false	green	31768869	15990787	15778082		{}		{}	{}	
ENCSR594WJV	cytotoxic T cell	yellow	yellow	false	false	false	false	yellow_low_reads	19301256	9664562	9636694		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 19,301,256 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 19301256}]"
ENCSR797AOQ	spleen	green	green	false	false	false	false	green	32667827	16390851	16276976		{}		{}	{}	
ENCSR675RBN	cerebral cortex	red	red	false	false	false	false	red_low_reads	207642	104025	103617		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 207,642 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 207642}]"
ENCSR812JCT	heart left ventricle	green	green	false	false	false	false	green	28878299	14493863	14384436		{}		{}	{}	
ENCSR740DLY	peripheral blood mononuclear cell	green	green	false	false	false	false	green	29057503	14572259	14485244		{}		{}	{}	
ENCSR964OON	sternocleidomastoid	green	green	false	false	false	false	green	27288268	13716878	13571390		{}		{}	{}	
ENCSR883PPD	right cardiac atrium	green	green	false	false	false	false	green	26200582	13148884	13051698		{}		{}	{}	
ENCSR784FKF	vermiform appendix	green	green	false	false	false	false	green	31617356	15916051	15701305		{}		{}	{}	
ENCSR273JQN	HCT116	green	green	true	false	true	false	perturbation_untreated	54478633	27431155	27047478	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"		{}	{}	"[{""fields"": {""biosample_summary"": [""crispr"", ""genetically modified""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched genetic-perturbation keywords with no active-treatment keyword: crispr, genetically modified"", ""rule"": ""metadata perturbation keyword match""}]"
ENCSR074XOP	HCT116	green	green	true	false	true	false	perturbation_untreated	49288179	24767749	24520430	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"		{}	{}	"[{""fields"": {""biosample_summary"": [""crispr"", ""genetically modified""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched genetic-perturbation keywords with no active-treatment keyword: crispr, genetically modified"", ""rule"": ""metadata perturbation keyword match""}]"
ENCSR635SXX	HCT116	green	green	true	false	true	false	perturbation_untreated	39109436	19661538	19447898	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"		{}	{}	"[{""fields"": {""biosample_summary"": [""crispr"", ""genetically modified""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched genetic-perturbation keywords with no active-treatment keyword: crispr, genetically modified"", ""rule"": ""metadata perturbation keyword match""}]"
ENCSR990FJB	HCT116	green	green	true	false	true	false	perturbation_untreated	34336772	17262232	17074540	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"		{}	{}	"[{""fields"": {""biosample_summary"": [""crispr"", ""genetically modified""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched genetic-perturbation keywords with no active-treatment keyword: crispr, genetically modified"", ""rule"": ""metadata perturbation keyword match""}]"
ENCSR261OWE	HCT116	green	green	true	true	false	false	perturbation_treated	34609770	17421587	17188183	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"	5-phenyl;indole-3-acetic acid;treated	"{""biosample_summary"": [""5-phenyl"", ""indole-3-acetic acid"", ""treated""]}"	{}	"[{""fields"": {""biosample_summary"": [""5-phenyl"", ""indole-3-acetic acid"", ""treated""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched active-treatment keywords: 5-phenyl, indole-3-acetic acid, treated"", ""rule"": ""metadata treatment keyword match""}]"
ENCSR932TRR	HCT116	green	green	true	false	true	false	perturbation_untreated	32851146	16534624	16316522	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"		{}	{}	"[{""fields"": {""biosample_summary"": [""crispr"", ""genetically modified""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched genetic-perturbation keywords with no active-treatment keyword: crispr, genetically modified"", ""rule"": ""metadata perturbation keyword match""}]"
