experiment	biosample	pl_reads	mn_reads	total_reads	profile_jsd	log_counts_pearson
ENCSR883HAT	uterus	17955212	17847493	35802705	0.3440160070146833	0.7348858969552177
ENCSR360MUR	HCT116	20753793	20496400	41250193	0.2935181472982679	0.7171465839658465
ENCSR871CUV	HCT116	13846001	13666830	27512831	0.3130674021584647	0.6965394956724984
ENCSR676YGJ	heart left ventricle	16110665	15922311	32032976	0.3621223909514291	0.6832365138190133
ENCSR571OAW	mesothelial cell of epicardium	2819612	2728969	5548581	0.40330505796841215	0.606897371155875
ENCSR632XIZ	skeletal muscle tissue	7666351	7521716	15188067	0.38168712173189434	0.6081136550222125
ENCSR179FHG	sigmoid colon	3202815	3120987	6323802	0.3656575083732605	0.5077364827905383
ENCSR246YHR	esophagus muscularis mucosa	21375172	21286948	42662120	0.36804562381335665	0.7133245723588126
ENCSR353ZXW	SP-49	3258200	3180257	6438457	0.3963202748979841	0.508242951972144
ENCSR845LKT	right lobe of liver	15448618	15367876	30816494	0.4606099171297891	0.6355589287621635
ENCSR794VAJ	sciatic nerve	27824448	27694434	55518882	0.33829199842044283	0.7684935671942574
ENCSR610POV	Metastatic Breast Carcinoma in the Brain	13493039	13347890	26840929	0.34987805570874897	0.7176115342548915
ENCSR220OLX	left colon	13818491	13588311	27406802	0.3716954120567867	0.7175109727042062
ENCSR966RLG	HCT116	4524985	4455598	8980583	0.41689606649535044	0.7240773609706334
ENCSR342WAR	neuron	25178368	24747047	49925415	0.3047782778739929	0.6839609571865627
ENCSR956DBV	suprapubic skin	6192622	6018422	12211044	0.35676450388772146	0.6553483605384827
ENCSR482XCK	ovary	38705970	38051894	76757864	0.3264499306678772	0.7223878162247794
ENCSR516KII	astrocyte	5380616	5325461	10706077	0.4807667817388262	0.7360865133149284
ENCSR280NVT	vagina	22513313	22530275	45043588	0.3573629345212664	0.7314313309533256
ENCSR245HPE	psoas muscle	7629451	7630450	15259901	0.40305074623652865	0.6433870111192975
ENCSR889QVM	ovary	14127307	14206260	28333567	0.325133353471756	0.683736332825252
ENCSR712UDA	peripheral blood mononuclear cell	12155698	12045172	24200870	0.3534401570047651	0.6545301335198539
ENCSR926PFT	omental fat pad	359387	348789	708176	0.4527625100953238	0.37750559619494845
ENCSR679CMZ	testis	14939053	14798064	29737117	0.3411433185849871	0.7472526601382664
ENCSR642TRG	tibial artery	15078456	14982218	30060674	0.36718943289348055	0.6694703698158264
ENCSR723NVI	T-cell	10127665	9994659	20122324	0.36563776220594135	0.5837671416146415
ENCSR175VMO	Metastatic Pancreatic Carcinoma in the Ovary	9024520	8776136	17800656	0.34713906049728394	0.6434184568268912
ENCSR718AQM	HCT116	5672242	5545962	11218204	0.4250169055802481	0.6845626660755703
ENCSR516YGD	adrenal gland	19653071	19228498	38881569	0.37084209067480906	0.7287296908242362
ENCSR015HKC	uterus	20260009	20423889	40683898	0.35265620265688213	0.6961752687181745
ENCSR359PWL	H9	26309892	25827092	52136984	0.32724447761263165	0.6986847179276603
ENCSR845TMF	prostate gland	21465227	21536700	43001927	0.35365213666643414	0.7451580081667218
ENCSR222JNI	endothelial cell	25656162	25405458	51061620	0.33210836563791546	0.7009202071598598
ENCSR216FUJ	Metastatic Breast Carcinoma in the Brain	15648996	15317759	30966755	0.3706895794187273	0.7155513507979256
ENCSR889PCF	bile duct	15433228	15408599	30841827	0.3671512518610273	0.7388315626553127
ENCSR153AON	esophagus squamous epithelium	22523414	22302170	44825584	0.36488112807273865	0.7286906327520098
ENCSR436JXW	Metastatic Breast Carcinoma in the Brain	6185623	6232187	12417810	0.35742635812078205	0.6216149926185608
ENCSR660UDB	kidney	15227345	15071967	30299312	0.36963567989213125	0.7529590896197728
ENCSR235BZZ	gastrocnemius medialis	14339443	14285313	28624756	0.3728797904082707	0.6394280876432147
ENCSR216UNW	lower lobe of left lung	19993181	19575197	39568378	0.4304386760507311	0.794851405279977
ENCSR813CRU	Metastatic Breast Carcinoma in the Brain	13662570	13470880	27133450	0.35071930289268494	0.705208923135485
