experiment	biosample	pl_reads	mn_reads	total_reads	profile_pearson	profile_jsd	log_counts_pearson	counts_spearman
ENCSR065QHA	left lobe of liver	15221015	15064622	30285637	0.49078039612088886	0.3676494743142809	0.6471728001322065	0.6466138533183506
ENCSR233GRN	bronchus	18464442	18336495	36800937	0.5256385632923671	0.34347344296319143	0.7495122977665493	0.7615583709308079
ENCSR997INZ	right atrium auricular region	18677406	18581491	37258897	0.48366475105285645	0.3704475590160915	0.6802390813827515	0.6847685064588275
ENCSR431MXP	thyroid gland	16339496	16181976	32521472	0.5639925258500236	0.3301131086690085	0.7479256732123238	0.7596561568123954
ENCSR255MUU	progenitor cell of endocrine pancreas	13854735	13624071	27478806	0.5972691774368286	0.2907859129565103	0.6710692984717233	0.687669575214386
ENCSR673CJC	Metastatic Lung Carcinoma in the Adrenal Gland	9027296	8942767	17970063	0.5454340662275042	0.319757091147559	0.6969577755246844	0.7205624580383301
ENCSR946MDO	gastroesophageal sphincter	15912618	15827697	31740315	0.5108569775308881	0.3534253920827593	0.6972176432609558	0.7143760578972953
ENCSR841GXY	monocyte	15293249	14685774	29979023	0.48756609644208637	0.39087980134146555	0.5119624435901642	0.48831620812416077
ENCSR296XBI	T-cell	17096353	16992460	34088813	0.5175046835626874	0.3451726053442274	0.6465679492269244	0.671111490045275
ENCSR072JHG	liver	15374783	15340261	30715044	0.474676285471235	0.35594090819358826	0.5947069696017674	0.6007849829537528
ENCSR883HAT	uterus	17955212	17847493	35802705	0.5181463871683393	0.34046786597796846	0.7433098895209176	0.7640887073108128
ENCSR360MUR	HCT116	20753793	20496400	41250193	0.6519976258277893	0.26289483479091097	0.7556101509502956	0.7936705606324332
ENCSR871CUV	HCT116	13846001	13666830	27512831	0.6510836822646004	0.27523143376622883	0.733422304902758	0.773752578667232
ENCSR676YGJ	heart left ventricle	16110665	15922311	32032976	0.5329719356128148	0.3416214542729514	0.7007963912827628	0.6985225677490234
ENCSR571OAW	mesothelial cell of epicardium	2819612	2728969	5548581	0.5374810440199715	0.37338446719305857	0.6543217727116176	0.6439648781503949
ENCSR632XIZ	skeletal muscle tissue	7666351	7521716	15188067	0.4697301132338388	0.37136630926813397	0.6213085736547198	0.640551575592586
ENCSR179FHG	sigmoid colon	3202815	3120987	6323802	0.5239578187465668	0.33755204507282804	0.5311946315424783	0.5554793306759426
ENCSR246YHR	esophagus muscularis mucosa	21375172	21286948	42662120	0.48785715869494845	0.3571960670607431	0.7290253468922206	0.7386259010859898
ENCSR353ZXW	SP-49	3258200	3180257	6438457	0.4961233607360295	0.36962207726069857	0.515185262475695	0.5471004971436092
ENCSR845LKT	right lobe of liver	15448618	15367876	30816494	0.441373131104878	0.4219404799597604	0.6450034209660122	0.6163465295519147
ENCSR794VAJ	sciatic nerve	27824448	27694434	55518882	0.5413876601627895	0.3248225322791508	0.7846307754516602	0.7992911168507167
ENCSR610POV	Metastatic Breast Carcinoma in the Brain	13493039	13347890	26840929	0.5350825914314815	0.33455771633556913	0.7322419200624738	0.7505190372467041
ENCSR220OLX	left colon	13818491	13588311	27406802	0.521235968385424	0.3403579422405788	0.7308095523289272	0.7519089409283229
ENCSR966RLG	HCT116	4524985	4455598	8980583	0.5569897634642464	0.37745354005268644	0.7402433838163104	0.7234548245157514
ENCSR342WAR	neuron	25178368	24747047	49925415	0.6113441927092416	0.2761561700275966	0.7319356203079224	0.7525485072817121
ENCSR956DBV	suprapubic skin	6192622	6018422	12211044	0.5839847922325134	0.32237282395362854	0.6790160877364022	0.7063652958188739
ENCSR482XCK	ovary	38705970	38051894	76757864	0.5463847688266209	0.3138029958520617	0.7390384418623788	0.7583018967083522
ENCSR516KII	astrocyte	5380616	5325461	10706077	0.4604442928518568	0.440271862915584	0.7574777432850429	0.7725399136543274
ENCSR280NVT	vagina	22513313	22530275	45043588	0.47439147744859966	0.3560114673205784	0.7389141150883266	0.7482125418526786
ENCSR245HPE	psoas muscle	7629451	7630450	15259901	0.4717306452138083	0.38043770619801115	0.6504333870751517	0.6781229291643415
ENCSR889QVM	ovary	14127307	14206260	28333567	0.5337351475443158	0.30834339346204487	0.6995867235319955	0.6982528822762626
ENCSR712UDA	peripheral blood mononuclear cell	12155698	12045172	24200870	0.5253447890281677	0.33451156105313984	0.6805443593433925	0.702905365398952
ENCSR926PFT	omental fat pad	359387	348789	708176	0.5091924922806876	0.4153864255973271	0.3789684772491455	0.3904403235231127
ENCSR679CMZ	testis	14939053	14798064	29737117	0.5243830723421914	0.3332805803843907	0.7540137427193778	0.7693749155317035
ENCSR642TRG	tibial artery	15078456	14982218	30060674	0.47905164105551584	0.35515351380620686	0.6849360125405448	0.7008655156408038
ENCSR723NVI	T-cell	10127665	9994659	20122324	0.5200179900441851	0.335303715297154	0.6115901981081281	0.6415234548704964
ENCSR175VMO	Metastatic Pancreatic Carcinoma in the Ovary	9024520	8776136	17800656	0.5413862424237388	0.3249968332903726	0.6553362267357963	0.6844011545181274
ENCSR718AQM	HCT116	5672242	5545962	11218204	0.5592756952558245	0.3782938165324075	0.7196791682924543	0.7406200851712909
ENCSR516YGD	adrenal gland	19653071	19228498	38881569	0.5396835122789655	0.34781771898269653	0.7384704266275678	0.757689220564706
ENCSR015HKC	uterus	20260009	20423889	40683898	0.47485256620815824	0.351644115788596	0.7097297310829163	0.7204546332359314
ENCSR359PWL	H9	26309892	25827092	52136984	0.5757291998182025	0.30602194581712994	0.7331614238875253	0.7639356851577759
ENCSR845TMF	prostate gland	21465227	21536700	43001927	0.4859207144805363	0.35231330139296396	0.7490431921822684	0.7560124226978847
ENCSR222JNI	endothelial cell	25656162	25405458	51061620	0.5931914874485561	0.3021921898637499	0.7380547097751072	0.7681997333254132
ENCSR216FUJ	Metastatic Breast Carcinoma in the Brain	15648996	15317759	30966755	0.4680110088416508	0.3700345882347652	0.7219682506152562	0.7392087323325021
ENCSR889PCF	bile duct	15433228	15408599	30841827	0.4938948452472687	0.36268916726112366	0.7445302861077445	0.7621398568153381
ENCSR153AON	esophagus squamous epithelium	22523414	22302170	44825584	0.523278261934008	0.349544278212956	0.7384845614433289	0.7313663533755711
ENCSR436JXW	Metastatic Breast Carcinoma in the Brain	6185623	6232187	12417810	0.5048611376966748	0.3418335148266384	0.6264710426330566	0.6413583755493164
ENCSR660UDB	kidney	15227345	15071967	30299312	0.5091599183423179	0.3457394242286682	0.770072511264256	0.7885457788194928
ENCSR235BZZ	gastrocnemius medialis	14339443	14285313	28624756	0.48469233087130953	0.35266968607902527	0.6515668034553528	0.6606015733310154
ENCSR216UNW	lower lobe of left lung	19993181	19575197	39568378	0.4704499968460628	0.3978934330599649	0.8050676584243774	0.8080779824938092
ENCSR813CRU	Metastatic Breast Carcinoma in the Brain	13662570	13470880	27133450	0.5594332899366107	0.33671350138528006	0.719069847038814	0.7380528450012207
ENCSR829KWG	natural killer cell	12691822	12548309	25240131	0.5206134489604405	0.3268532795565469	0.6242510335786002	0.645994918687003
ENCSR380VKC	heart right ventricle	14796671	14549574	29346245	0.5149507437433515	0.35444688371249605	0.7080592342785427	0.7120019027165004
ENCSR220XSM	K562	22171427	21930403	44101830	0.5659255044800895	0.3093017595154898	0.7537967818123954	0.7756194387163434
ENCSR733DAS	HEK293T	33559859	33720487	67280346	0.531800661768232	0.30480320538793293	0.7590388570513044	0.7738040941102164
ENCSR269FMG	liver	15824525	15640841	31465366	0.43985967125211445	0.3846063699041094	0.6434258563177926	0.6340992706162589
ENCSR995FAO	mucosa of descending colon	16105129	15881790	31986919	0.5590490358216422	0.3284215543951307	0.7360469613756452	0.7509297387940543
ENCSR443GRP	endodermal cell	17221162	16947883	34169045	0.5367894428116935	0.3344845048018864	0.7073725206511361	0.7326064365250724
ENCSR881RXX	anterior vena cava	10590010	10378529	20968539	0.5429203808307648	0.3274887800216675	0.7157582555498395	0.7325928977557591
ENCSR944DTY	SEM	16345322	16100426	32445748	0.5095819447721753	0.33569072825568064	0.6457539626530239	0.6755559188979012
ENCSR270EGA	left cardiac atrium	9700394	9600925	19301319	0.5693012050219944	0.31595259053366526	0.7306537287575858	0.7528974158423287
ENCSR368ARY	pulmonary artery	6845863	6658725	13504588	0.560333115713937	0.318836578301021	0.6763087255614144	0.7020608612469265
ENCSR521BLL	psoas muscle	7639494	7695919	15335413	0.5101412108966282	0.34192435656275066	0.586851179599762	0.6114118524960109
ENCSR062QYF	cerebellum	23591993	23800540	47392533	0.5685419184820992	0.29110696486064364	0.6989475999559674	0.7200236661093575
ENCSR526XOQ	NALM6	17752759	17677095	35429854	0.49375034230096	0.34035900235176086	0.6445250170571464	0.675796662058149
ENCSR386UFU	peripheral blood mononuclear cell	11792912	11604646	23397558	0.5033729842730931	0.38252003278051105	0.679875271660941	0.68839373758861
ENCSR795NHV	peripheral blood mononuclear cell	5140752	5101656	10242408	0.48428494589669363	0.37381003158433096	0.7100582548550197	0.7297374946730477
ENCSR255VLW	jejunum	15334201	15064779	30398980	0.5113113181931632	0.34361516152109417	0.7445965238979885	0.7614402345248631
ENCSR087CGY	ovary	21159777	21318517	42478294	0.5083624422550201	0.3253712441240038	0.7341151237487793	0.740780736718859
ENCSR374RDU	breast	10287080	10304383	20591463	0.5392100172383445	0.324109605380467	0.7132742575236729	0.730402043887547
ENCSR219IHS	A549	4575957	4482460	9058417	0.550082266330719	0.33063202244894846	0.7038237707955497	0.6566521951130458
